,Zip Code,Median household income($),Population below poverty level(%),Unemployment(%)
0,78726.0,66096,9,4
2,78724.0,35711,38,8
4,78701.0,68152,20,9
5,78702.0,34734,33,11
6,78703.0,92606,10,4
7,78704.0,50248,21,7
8,78705.0,11917,66,14
9,78717.0,93305,3,5
10,78721.0,32131,32,16
11,78722.0,44917,19,8
12,78723.0,41869,29,10
13,78727.0,65687,11,6
14,78728.0,47405,14,6
15,78729.0,57358,8,7
16,78730.0,119573,4,3
17,78731.0,78265,9,4
18,78732.0,127726,3,5
19,78735.0,74571,6,4
20,78739.0,126525,1,4
21,78741.0,30183,40,9
22,78742.0,34076,37,11
23,78744.0,41056,26,9
24,78745.0,49243,16,7
25,78746.0,125327,5,4
26,78748.0,65889,9,6
27,78749.0,80956,6,4
28,78750.0,75958,7,6
29,78751.0,38624,26,9
30,78752.0,33271,32,9
31,78753.0,39593,26,9
32,78754.0,53274,11,9
33,78756.0,59685,9,4
34,78757.0,55156,16,6
35,78758.0,41792,24,10
36,78759.0,65672,7,7
