,zip_code,crime reports
0,78741.0,3121
1,78753.0,2904
2,78704.0,2380
3,78758.0,2281
4,78745.0,2108
5,78701.0,1963
6,78723.0,1960
7,78744.0,1807
8,78702.0,1497
9,78748.0,1273
10,78752.0,1229
11,78759.0,1117
12,78705.0,1099
13,78757.0,1048
14,78751.0,883
15,78746.0,741
16,78749.0,738
17,78703.0,650
18,78729.0,513
19,78724.0,506
20,78731.0,497
21,78727.0,494
22,78721.0,475
23,78754.0,387
24,78756.0,320
25,78613.0,312
26,78750.0,308
27,78717.0,280
28,78735.0,270
29,78617.0,258
30,78722.0,248
31,78747.0,212
32,78726.0,205
33,78719.0,156
34,78660.0,154
35,78739.0,143
36,78736.0,114
37,78725.0,68
38,78742.0,54
39,78730.0,46
40,78653.0,39
41,78652.0,16
42,78712.0,5
43,78728.0,4
44,78732.0,1
45,78737.0,1
