,zip_code,complaint count
0,78745,31381
1,78704,29674
2,78702,25203
3,78744,22108
4,78758,21741
5,78723,21723
6,78753,19572
7,78741,19115
8,78703,16460
9,78701,16404
10,78748,16256
11,78757,14883
12,78759,14406
13,78749,13815
14,78731,13582
15,78705,12989
16,78751,11622
17,78721,10030
18,78724,9734
19,78752,8610
20,78727,8245
21,78746,6872
22,78756,6620
23,78754,6127
24,78739,5581
25,78722,5386
26,78735,4840
27,78747,4702
28,78750,4236
29,78617,3276
30,78726,2235
31,78736,2067
32,78725,1839
33,78730,1760
34,78660,1696
35,78728,1549
36,78732,1081
37,78734,950
38,78742,836
39,78719,619
40,78733,608
41,78729,563
42,78653,555
43,78712,412
44,78652,346
45,78737,266
46,78738,184
47,78610,31
48,78641,28
49,79739,13
50,78613,10
51,78669,6
52,78717,2
53,78621,1
54,78620,1
55,78645,1
