,zip_code,complaint_count,crime_reports,median_household_income($),population_below_poverty_level(%),unemployment(%),total_population,male(%),female(%)
0,78745.0,31381.0,2108.0,49243.0,16.0,7.0,55614.0,50.01078865033984,49.98921134966016
1,78704.0,29674.0,2380.0,50248.0,21.0,7.0,42117.0,50.480803476031056,49.519196523968944
2,78702.0,25203.0,1497.0,34734.0,33.0,11.0,21334.0,51.03121777444455,48.96878222555545
3,78744.0,22108.0,1807.0,41056.0,26.0,9.0,42820.0,50.58617468472676,49.413825315273236
4,78758.0,21741.0,2281.0,41792.0,24.0,10.0,44072.0,52.21909602468687,47.78090397531312
5,78723.0,21723.0,1960.0,41869.0,29.0,10.0,28330.0,51.426050123543945,48.573949876456055
6,78753.0,19572.0,2904.0,39593.0,26.0,9.0,49301.0,52.02125717531084,47.97874282468915
7,78741.0,19115.0,3121.0,30183.0,40.0,9.0,44935.0,53.34149326805385,46.65850673194614
8,78703.0,16460.0,650.0,92606.0,10.0,4.0,19690.0,49.487049263585575,50.51295073641442
9,78701.0,16404.0,1963.0,68152.0,20.0,9.0,6841.0,62.271597719631636,37.728402280368364
10,78748.0,16256.0,1273.0,65889.0,9.0,6.0,40651.0,48.38749354259428,51.61250645740573
11,78757.0,14883.0,1048.0,55156.0,16.0,6.0,21310.0,49.052088221492255,50.94791177850774
12,78759.0,14406.0,1117.0,65672.0,7.0,7.0,38891.0,48.97791262760022,51.02208737239978
13,78749.0,13815.0,738.0,80956.0,6.0,4.0,34449.0,48.95062265958373,51.04937734041627
14,78731.0,13582.0,497.0,78265.0,9.0,4.0,24614.0,48.80962054115544,51.19037945884456
15,78705.0,12989.0,1099.0,11917.0,66.0,14.0,31340.0,51.02105934907466,48.97894065092533
16,78751.0,11622.0,883.0,38624.0,26.0,9.0,14385.0,53.98679179701078,46.013208202989226
17,78721.0,10030.0,475.0,32131.0,32.0,16.0,11425.0,48.77024070021882,51.229759299781186
18,78724.0,9734.0,506.0,35711.0,38.0,8.0,21696.0,51.53484513274337,48.465154867256636
19,78752.0,8610.0,1229.0,33271.0,32.0,9.0,18064.0,54.12976085031001,45.870239149689986
20,78727.0,8245.0,494.0,65687.0,11.0,6.0,26689.0,49.84825208887557,50.15174791112443
21,78746.0,6872.0,741.0,125327.0,5.0,4.0,26928.0,49.46152703505645,50.53847296494355
22,78756.0,6620.0,320.0,59685.0,9.0,4.0,7194.0,50.12510425354462,49.87489574645538
23,78754.0,6127.0,387.0,53274.0,11.0,9.0,15036.0,49.640861931364725,50.359138068635275
24,78739.0,5581.0,143.0,126525.0,1.0,4.0,16792.0,49.327060505002386,50.672939494997614
25,78722.0,5386.0,248.0,44917.0,19.0,8.0,5901.0,50.601592950347396,49.398407049652604
26,78735.0,4840.0,270.0,74571.0,6.0,4.0,16131.0,48.33550306862563,51.66449693137437
27,78747.0,4702.0,212.0,,,,14808.0,49.60156672069152,50.398433279308485
28,78750.0,4236.0,308.0,75958.0,7.0,6.0,26814.0,49.40702618035355,50.59297381964646
29,78617.0,3276.0,258.0,,,,22210.0,53.96217919855921,46.037820801440795
30,78726.0,2235.0,205.0,66096.0,9.0,4.0,13122.0,49.474165523548244,50.525834476451756
31,78736.0,2067.0,114.0,,,,6946.0,49.22257414339188,50.77742585660812
32,78725.0,1839.0,68.0,,,,6083.0,49.120499753411146,50.87950024658885
33,78730.0,1760.0,46.0,119573.0,4.0,3.0,7955.0,50.09428032683847,49.905719673161535
34,78660.0,1696.0,154.0,,,,68789.0,48.79413859774092,51.20586140225908
35,78728.0,1549.0,4.0,47405.0,14.0,6.0,20299.0,49.337405783536134,50.662594216463866
36,78732.0,1081.0,1.0,127726.0,3.0,5.0,14060.0,49.63015647226173,50.36984352773827
37,78734.0,950.0,,,,,17655.0,50.654205607476634,49.34579439252336
38,78742.0,836.0,54.0,34076.0,37.0,11.0,820.0,50.0,50.0
39,78719.0,619.0,156.0,,,,1764.0,51.47392290249433,48.52607709750567
40,78733.0,608.0,,,,,8762.0,50.18260671079662,49.81739328920337
41,78729.0,563.0,513.0,57358.0,8.0,7.0,27108.0,49.53150361516895,50.46849638483104
42,78653.0,555.0,39.0,,,,16375.0,49.71603053435115,50.28396946564886
43,78712.0,412.0,5.0,,,,860.0,50.23255813953489,49.76744186046512
44,78652.0,346.0,16.0,,,,4466.0,51.231527093596064,48.76847290640394
45,78737.0,266.0,1.0,,,,12081.0,49.375051734127965,50.62494826587203
46,78738.0,184.0,,,,,12134.0,49.36541948244602,50.634580517553985
47,78610.0,31.0,,,,,23502.0,49.800017019828104,50.199982980171896
48,78641.0,28.0,,,,,44295.0,49.768596907100125,50.231403092899875
49,79739.0,13.0,,,,,,,
50,78613.0,10.0,312.0,,,,65099.0,48.900904775803006,51.09909522419699
51,78669.0,6.0,,,,,8731.0,51.35723284847097,48.642767151529036
52,78717.0,2.0,280.0,93305.0,3.0,5.0,22538.0,48.87301446446003,51.12698553553998
53,78621.0,1.0,,,,,21659.0,49.76684057435708,50.23315942564292
54,78620.0,1.0,,,,,14367.0,50.400222732651216,49.599777267348784
55,78645.0,1.0,,,,,9773.0,51.2636856645861,48.736314335413894
56,78602.0,,,,,,25160.0,53.03656597774244,46.96343402225755
57,78605.0,,,,,,4952.0,49.95961227786753,50.04038772213247
58,78606.0,,,,,,5205.0,49.83669548511047,50.16330451488953
59,78607.0,,,,,,166.0,50.602409638554214,49.39759036144578
60,78608.0,,,,,,434.0,51.382488479262676,48.61751152073733
61,78609.0,,,,,,2012.0,50.14910536779325,49.85089463220676
62,78611.0,,,,,,12977.0,47.884719118440316,52.11528088155968
63,78612.0,,,,,,11457.0,50.73754036833377,49.262459631666225
64,78614.0,,,,,,456.0,52.63157894736842,47.368421052631575
65,78615.0,,,,,,1290.0,49.14728682170543,50.85271317829457
66,78616.0,,,,,,7092.0,51.706147772137626,48.29385222786238
67,78618.0,,,,,,324.0,53.39506172839506,46.60493827160494
68,78619.0,,,,,,3026.0,50.23132848645076,49.768671513549236
69,78622.0,,,,,,296.0,50.33783783783784,49.66216216216216
70,78623.0,,,,,,813.0,50.55350553505535,49.44649446494465
71,78624.0,,,,,,21513.0,47.94775252173105,52.05224747826895
72,78626.0,,,,,,25996.0,50.476996460993995,49.523003539006
73,78628.0,,,,,,23727.0,48.31204956378809,51.68795043621191
74,78629.0,,,,,,11887.0,49.827542693699,50.172457306301
75,78631.0,,,,,,2395.0,49.102296450939455,50.897703549060545
76,78632.0,,,,,,910.0,52.96703296703297,47.03296703296703
77,78633.0,,,,,,19349.0,47.330611401106,52.669388598893995
78,78634.0,,,,,,22791.0,48.931595805361766,51.06840419463824
79,78635.0,,,,,,149.0,48.99328859060403,51.006711409395976
80,78636.0,,,,,,3749.0,50.97359295812217,49.02640704187783
81,78638.0,,,,,,2005.0,50.723192019950126,49.276807980049874
82,78639.0,,,,,,7334.0,47.87292064357786,52.12707935642214
83,78640.0,,,,,,42954.0,50.44000558737254,49.55999441262746
84,78642.0,,,,,,9467.0,50.31160874617091,49.68839125382909
85,78643.0,,,,,,6139.0,47.61361785307054,52.38638214692946
86,78644.0,,,,,,17081.0,49.82729348398806,50.17270651601194
87,78648.0,,,,,,7683.0,47.75478328777821,52.24521671222179
88,78650.0,,,,,,1599.0,51.34459036898061,48.65540963101939
89,78654.0,,,,,,17553.0,49.25653734404376,50.74346265595625
90,78655.0,,,,,,2739.0,50.12778386272362,49.872216137276375
91,78656.0,,,,,,2271.0,51.034786437692645,48.965213562307355
92,78657.0,,,,,,5509.0,48.93810128880015,51.06189871119986
93,78659.0,,,,,,2903.0,49.29383396486393,50.70616603513607
94,78661.0,,,,,,335.0,48.059701492537314,51.94029850746269
95,78662.0,,,,,,2268.0,50.264550264550266,49.735449735449734
96,78663.0,,,,,,746.0,50.402144772117964,49.597855227882036
97,78664.0,,,,,,52932.0,49.08184085241442,50.918159147585584
98,78665.0,,,,,,35985.0,48.96484646380436,51.03515353619563
99,78666.0,,,,,,63836.0,50.344633122376095,49.65536687762391
100,78670.0,,,,,,168.0,47.023809523809526,52.976190476190474
101,78671.0,,,,,,654.0,50.61162079510704,49.38837920489297
102,78672.0,,,,,,931.0,50.912996777658435,49.08700322234157
103,78675.0,,,,,,188.0,50.53191489361703,49.46808510638298
104,78676.0,,,,,,12602.0,48.35740358673227,51.64259641326774
105,78677.0,,,,,,92.0,52.17391304347826,47.82608695652174
106,78681.0,,,,,,50606.0,49.513891633403155,50.48610836659685
